Transcript_Chr	Transcript_Start	Transcript_End	Strand	log2FoldChange	logCPM	P-value	FDR	DEG	Exposure	Sex	Stage	Transcript	Gene	Symbol	GeneType	TE_Chr	TE_Start	TE_End	TE_strand	subfamily	class	family	transcript_type
chr17	24722905	24722907	-	-0.308656115	1.325682917	0.509191046	0.883299895	FALSE	DEHP	F	adt	ENSMUST00000144285.1	ENSMUSG00000040048.14	Ndufb10	protein_coding	chr17	24722869	24723008	+	B1_Mus2	SINE	Alu	retained_intron
chr5	24393675	24393677	+	-0.387313189	1.247093598	0.516408302	0.889865113	FALSE	DEHP	F	adt	ENSMUST00000115077.7	ENSMUSG00000028973.18	Abcb8	protein_coding	chr5	24393655	24393770	+	B1F	SINE	Alu	protein_coding
chr10	80702425	80702427	+	-0.154790915	1.055444383	0.536823536	0.90853119	FALSE	DEHP	F	adt	ENSMUST00000218184.1	ENSMUSG00000055862.7	Izumo4	protein_coding	chr10	80702391	80702536	-	B1_Mus2	SINE	Alu	protein_coding
chr13	72455339	72455341	-	-0.141975613	2.306273354	0.542905788	0.914656634	FALSE	DEHP	F	adt	ENSMUST00000075549.7	ENSMUSG00000094989.1	Rpl9-ps4	processed_pseudogene	chr13	72455323	72455363	+	ID_B1	SINE	B4	processed_pseudogene
chr5	40328437	40328439	+	-0.177588473	0.324172067	0.5432946	0.914990723	FALSE	DEHP	F	adt	ENSMUST00000118681.1	ENSMUSG00000082938.1	Gm2810	processed_pseudogene	chr5	40328261	40328443	-	B2_Mm1t	SINE	B2	processed_pseudogene
chr4	41755227	41755229	+	-0.161673187	0.7358819	0.547599731	0.91817359	FALSE	DEHP	F	adt	ENSMUST00000108038.1	ENSMUSG00000036073.17	Galt	protein_coding	chr4	41755060	41755294	+	Lx8	LINE	L1	protein_coding
chr13	17801330	17801332	-	-0.10328875	3.35978893	0.556976669	0.92675286	FALSE	DEHP	F	adt	ENSMUST00000222800.1	ENSMUSG00000041297.8	Cdk13	protein_coding	chr13	17801299	17801416	-	L2b	LINE	L2	protein_coding
chr2	5798597	5798599	-	-0.10610748	2.326695355	0.565318474	0.933265298	FALSE	DEHP	F	adt	ENSMUST00000130142.1	ENSMUSG00000039128.13	Cdc123	protein_coding	chr2	5798595	5798707	+	B1_Mur4	SINE	Alu	processed_transcript
chr9	86549616	86549618	+	-0.187378986	-0.05255999	0.567927866	0.935106358	FALSE	DEHP	F	adt	ENSMUST00000187427.1	ENSMUSG00000034973.16	Dop1a	protein_coding	chr9	86549460	86549618	+	B3	SINE	B2	retained_intron
chr5	121527252	121527254	-	-0.242794183	0.513048425	0.570089948	0.936772364	FALSE	DEHP	F	adt	ENSMUST00000126524.4	ENSMUSG00000029454.15	Mapkapk5	protein_coding	chr5	121527253	121527372	-	PB1D10	SINE	Alu	retained_intron
chr17	33952688	33952690	-	-0.163146449	2.191057196	0.571510371	0.937957405	FALSE	DEHP	F	adt	ENSMUST00000174758.7	ENSMUSG00000008668.15	Rps18	protein_coding	chr17	33952619	33952766	-	B2_Mm2	SINE	B2	retained_intron
chr2	52424900	52424902	-	-0.040467348	7.1723154	0.576360027	0.94265103	FALSE	DEHP	F	adt	ENSMUST00000036541.7	ENSMUSG00000036093.7	Arl5a	protein_coding	chr2	52424510	52424901	+	L1M4b	LINE	L1	protein_coding
chr17	21735911	21735913	+	-0.339357302	0.43697082	0.577829718	0.944009076	FALSE	DEHP	F	adt	ENSMUST00000182603.1	ENSMUSG00000061544.13	Zfp229	protein_coding	chr17	21735843	21735991	+	B1_Mus2	SINE	Alu	protein_coding
chr7	45001386	45001388	+	-0.145392877	0.301373646	0.578846873	0.944938077	FALSE	DEHP	F	adt	ENSMUST00000208906.1	ENSMUSG00000003184.15	Irf3	protein_coding	chr7	45001332	45001433	-	PB1D10	SINE	Alu	retained_intron
chr2	120977016	120977018	+	-0.283047867	0.787375975	0.583999153	0.949021852	FALSE	DEHP	F	adt	ENSMUST00000139428.7	ENSMUSG00000054484.14	Tmem62	protein_coding	chr2	120977008	120977079	-	MIRc	SINE	MIR	nonsense_mediated_decay
chr10	39895820	39895822	-	-0.279779799	0.713789841	0.58712229	0.951129916	FALSE	DEHP	F	adt	ENSMUST00000178045.7	ENSMUSG00000096687.7	Mfsd4b4	protein_coding	chr10	39895815	39896931	-	MTC-int	LTR	ERVL-MaLR	protein_coding
chr17	35442187	35442189	+	-0.149485613	0.929544606	0.58944345	0.95280362	FALSE	DEHP	F	adt	ENSMUST00000173016.1	ENSMUSG00000060550.16	H2-Q7	protein_coding	chr17	35442040	35442220	-	B2_Mm1t	SINE	B2	retained_intron
chr1	120272704	120272706	-	-0.202773997	1.167297578	0.597097142	0.959607833	FALSE	DEHP	F	adt	ENSMUST00000112643.1	ENSMUSG00000026389.16	Steap3	protein_coding	chr1	120272387	120272848	-	RMER15	LTR	ERVL	protein_coding
chr15	100681961	100681963	-	-0.151046292	2.458418153	0.601420592	0.963236414	FALSE	DEHP	F	adt	ENSMUST00000230572.1	ENSMUSG00000023031.8	Cela1	protein_coding	chr15	100681848	100681978	-	B1_Mur2	SINE	Alu	protein_coding
chr15	7140548	7140550	+	-0.100133494	7.119013774	0.601737741	0.963590503	FALSE	DEHP	F	adt	ENSMUST00000227727.1	ENSMUSG00000054263.12	Lifr	protein_coding	chr15	7140329	7140713	+	MTC	LTR	ERVL-MaLR	protein_coding
chr11	69918303	69918305	-	-0.071960537	1.79365053	0.612748062	0.972871912	FALSE	DEHP	F	adt	ENSMUST00000153652.7	ENSMUSG00000078812.10	Eif5a	protein_coding	chr11	69918277	69918446	+	ID_B1	SINE	B4	protein_coding
chr2	90677214	90677216	+	-0.073729021	2.651204699	0.613440458	0.973136699	FALSE	DEHP	F	adt	ENSMUST00000057481.6	ENSMUSG00000051329.13	Nup160	protein_coding	chr2	90676949	90677308	-	Lx8	LINE	L1	protein_coding
chr3	138307021	138307023	-	-0.127835928	0.749830188	0.614703501	0.97430445	FALSE	DEHP	F	adt	ENSMUST00000160080.1	ENSMUSG00000089635.1	Gm16559	antisense	chr3	138306764	138307305	-	RLTR12A	LTR	ERVK	antisense
chr16	26755490	26755492	-	-0.069456965	4.710908045	0.622003771	0.980602698	FALSE	DEHP	F	adt	ENSMUST00000172522.7	ENSMUSG00000092545.7	Gm20319	antisense	chr16	26755078	26755591	+	RLTR11A2	LTR	ERVK	antisense
chr7	141399427	141399429	+	-0.213807426	3.535788339	0.62642558	0.984065115	FALSE	DEHP	F	adt	ENSMUST00000211759.1	ENSMUSG00000025503.5	Taldo1	protein_coding	chr7	141399322	141399475	-	ID_B1	SINE	B4	processed_transcript
chr11	59818686	59818688	-	-0.141418702	0.001537517	0.632065584	0.988535022	FALSE	DEHP	F	adt	ENSMUST00000126489.1	ENSMUSG00000019373.11	Cops3	protein_coding	chr11	59818656	59818793	+	B1_Mur4	SINE	Alu	processed_transcript
chr11	69674975	69674977	-	-0.168134443	0.548558887	0.636541797	0.992407012	FALSE	DEHP	F	adt	ENSMUST00000123084.7	ENSMUSG00000005204.12	Senp3	protein_coding	chr11	69674801	69675015	-	B4	SINE	B4	retained_intron
chr4	45965333	45965335	+	-0.276611002	2.41995633	0.639705688	0.994749529	FALSE	DEHP	F	adt	ENSMUST00000107777.8	ENSMUSG00000035517.17	Tdrd7	protein_coding	chr4	45965176	45965539	+	MLT1A0	LTR	ERVL-MaLR	protein_coding
chr17	31512750	31512752	-	-0.130662612	2.111957159	0.644198207	0.998412728	FALSE	DEHP	F	adt	ENSMUST00000171171.7	ENSMUSG00000024037.12	Wdr4	protein_coding	chr17	31512668	31512793	-	MLT1H-int	LTR	ERVL-MaLR	protein_coding
chr15	55133435	55133437	+	-0.011301706	1.252848317	0.925671113	1	FALSE	DEHP	F	adt	ENSMUST00000023056.7	ENSMUSG00000022419.16	Deptor	protein_coding	chr15	55133349	55133523	+	MER5A	DNA	hAT-Charlie	protein_coding
chr17	64313030	64313032	-	-0.152108877	2.13839965	0.731411554	1	FALSE	DEHP	F	adt	ENSMUST00000024888.14	ENSMUSG00000024083.16	Pja2	protein_coding	chr17	64312990	64313188	+	Charlie7	DNA	hAT-Charlie	protein_coding
chr3	142765044	142765046	+	-0.003249907	4.604338998	0.964040994	1	FALSE	DEHP	F	adt	ENSMUST00000029938.9	ENSMUSG00000028271.9	Gtf2b	protein_coding	chr3	142764945	142765053	-	MT2B	LTR	ERVL	protein_coding
chr5	122395813	122395815	+	-0.078725214	2.323336564	0.810127538	1	FALSE	DEHP	F	adt	ENSMUST00000031421.11	ENSMUSG00000029465.14	Arpc3	protein_coding	chr5	122395753	122396147	-	MTA_Mm	LTR	ERVL-MaLR	protein_coding
chr6	140622662	140622664	+	-0.012621145	3.251822812	0.9025044	1	FALSE	DEHP	F	adt	ENSMUST00000032359.14	ENSMUSG00000030232.18	Aebp2	protein_coding	chr6	140622632	140622747	-	B1F2	SINE	Alu	protein_coding
chr17	43804002	43804004	+	-0.010739453	2.670202978	0.928993852	1	FALSE	DEHP	F	adt	ENSMUST00000044895.12	ENSMUSG00000039601.16	Rcan2	protein_coding	chr17	43803759	43804054	-	L2b	LINE	L2	protein_coding
chr18	48045334	48045336	+	-0.037126672	2.852273741	0.843924353	1	FALSE	DEHP	F	adt	ENSMUST00000076155.4	ENSMUSG00000059040.4	Eno1b	protein_coding	chr18	48045068	48045353	-	RLTR51A_Mm	LTR	ERVK?	protein_coding
chr16	18065158	18065160	+	-0.148376961	2.713451138	0.72309537	1	FALSE	DEHP	F	adt	ENSMUST00000076757.11	ENSMUSG00000003531.15	Dgcr6	protein_coding	chr16	18065053	18065249	-	ORR1D1	LTR	ERVL-MaLR	protein_coding
chr5	135636531	135636533	+	-0.12893901	0.626837082	0.685649722	1	FALSE	DEHP	F	adt	ENSMUST00000084599.3	ENSMUSG00000039917.10	Rhbdd2	protein_coding	chr5	135636418	135636567	+	MIR3	SINE	MIR	retained_intron
chr9	107296025	107296027	+	-0.194000872	3.83869367	0.656287004	1	FALSE	DEHP	F	adt	ENSMUST00000085102.5	ENSMUSG00000032578.7	Cish	protein_coding	chr9	107295927	107296051	+	B1_Mm	SINE	Alu	protein_coding
chr5	53555833	53555835	+	-0.212902359	3.14134077	0.669020894	1	FALSE	DEHP	F	adt	ENSMUST00000087360.8	ENSMUSG00000039191.12	Rbpj	protein_coding	chr5	53555798	53555925	-	B1F	SINE	Alu	protein_coding
chr11	70054697	70054699	+	-0.050996039	3.719960077	0.766218301	1	FALSE	DEHP	F	adt	ENSMUST00000092959.10	ENSMUSG00000020884.15	Asgr1	protein_coding	chr11	70054583	70054719	-	B1_Mur1	SINE	Alu	protein_coding
chr2	33462352	33462354	-	-0.227414543	3.036192301	0.659259497	1	FALSE	DEHP	F	adt	ENSMUST00000095035.2	ENSMUSG00000026788.13	Zbtb43	protein_coding	chr2	33462213	33462369	+	RMER15	LTR	ERVL	protein_coding
chr3	87208004	87208006	-	-0.003623632	2.340065035	0.965181565	1	FALSE	DEHP	F	adt	ENSMUST00000098980.4	ENSMUSG00000074506.4	Gm10705	processed_pseudogene	chr3	87208001	87208252	+	MTEa	LTR	ERVL-MaLR	processed_pseudogene
chr4	88400564	88400566	+	-0.118989535	0.491261825	0.69841832	1	FALSE	DEHP	F	adt	ENSMUST00000107147.1	ENSMUSG00000038368.16	Focad	protein_coding	chr4	88400195	88400693	-	RLTR30D2_MM	LTR	ERV1	protein_coding
chr4	94935620	94935622	+	-0.002892553	0.533743125	0.959402051	1	FALSE	DEHP	F	adt	ENSMUST00000121965.1	ENSMUSG00000083179.3	Gm12693	processed_pseudogene	chr4	94935421	94935643	+	RLTR16	LTR	ERVK	processed_pseudogene
chr1	172114336	172114338	+	-0.001756184	3.923531909	0.963000867	1	FALSE	DEHP	F	adt	ENSMUST00000122845.7	ENSMUSG00000026553.17	Copa	protein_coding	chr1	172114312	172114682	-	MLT1F2	LTR	ERVL-MaLR	retained_intron
chr7	141400153	141400155	+	-0.089475375	0.253516418	0.705796614	1	FALSE	DEHP	F	adt	ENSMUST00000125597.1	ENSMUSG00000025503.5	Taldo1	protein_coding	chr7	141400078	141400172	-	PB1D10	SINE	Alu	retained_intron
chr7	141400153	141400155	+	-0.089475375	0.253516418	0.705796614	1	FALSE	DEHP	F	adt	ENSMUST00000125597.1	ENSMUSG00000025503.5	Taldo1	protein_coding	chr7	141400096	141400183	-	MT2B2	LTR	ERVL	retained_intron
chrX	73447278	73447280	-	-0.138399819	-0.583897402	0.703958146	1	FALSE	DEHP	F	adt	ENSMUST00000131140.1	ENSMUSG00000031371.14	Haus7	protein_coding	chrX	73447277	73447452	+	B2_Mm2	SINE	B2	processed_transcript
chr14	75190328	75190330	+	-0.095614774	5.152661349	0.690026688	1	FALSE	DEHP	F	adt	ENSMUST00000131802.1	ENSMUSG00000021998.16	Lcp1	protein_coding	chr14	75190256	75190374	+	Plat_L3	LINE	CR1	protein_coding
chr4	116000067	116000069	-	-0.039926699	0.489975673	0.860574475	1	FALSE	DEHP	F	adt	ENSMUST00000133225.1	ENSMUSG00000034171.13	Faah	protein_coding	chr4	116000041	116000115	-	L3b	LINE	CR1	retained_intron
chr16	13834081	13834083	+	-0.156292509	2.310903147	0.68396078	1	FALSE	DEHP	F	adt	ENSMUST00000139161.1	ENSMUSG00000022681.15	Ntan1	protein_coding	chr16	13834060	13834127	+	PB1D10	SINE	Alu	retained_intron
chr6	49082584	49082586	+	-0.094190952	0.758291506	0.760256488	1	FALSE	DEHP	F	adt	ENSMUST00000139726.1	ENSMUSG00000029815.12	Malsu1	protein_coding	chr6	49082496	49082658	-	L1_Rod	LINE	L1	retained_intron
chr7	29985298	29985300	+	-0.011746359	3.6131387	0.923811681	1	FALSE	DEHP	F	adt	ENSMUST00000146074.7	ENSMUSG00000074221.12	Zfp568	protein_coding	chr7	29985240	29985339	-	L1MEi	LINE	L1	protein_coding
chr19	5673946	5673948	-	-0.141459896	2.30686768	0.704300692	1	FALSE	DEHP	F	adt	ENSMUST00000146638.1	ENSMUSG00000054874.12	Pcnx3	protein_coding	chr19	5673928	5674079	+	ID_B1	SINE	B4	retained_intron
chr14	105294545	105294547	+	-0.151452709	0.621259361	0.733487133	1	FALSE	DEHP	F	adt	ENSMUST00000149358.1	ENSMUSG00000053253.16	Ndfip2	protein_coding	chr14	105294420	105294656	-	B4A	SINE	B4	processed_transcript
chr11	97778634	97778636	-	-0.037091633	1.748719084	0.840787615	1	FALSE	DEHP	F	adt	ENSMUST00000150955.1	ENSMUSG00000071415.6	Rpl23	protein_coding	chr11	97778491	97778656	+	B2_Mm1a	SINE	B2	processed_transcript
chr5	115479937	115479939	-	-0.074806256	0.290370869	0.799707494	1	FALSE	DEHP	F	adt	ENSMUST00000154729.1	ENSMUSG00000029524.16	Sirt4	protein_coding	chr5	115479928	115480087	+	B2_Mm2	SINE	B2	retained_intron
chr3	121252862	121252864	-	-0.011381214	2.364201873	0.898141091	1	FALSE	DEHP	F	adt	ENSMUST00000155309.7	ENSMUSG00000028132.15	Tmem56	protein_coding	chr3	121252604	121253204	-	MT2B2	LTR	ERVL	protein_coding
chr7	131429810	131429812	+	-0.014214551	6.484568432	0.835018843	1	FALSE	DEHP	F	adt	ENSMUST00000156261.1	ENSMUSG00000030861.15	Acadsb	protein_coding	chr7	131429714	131429863	+	B1_Mus1	SINE	Alu	retained_intron
chr1	161047141	161047143	-	-0.096371412	1.952982619	0.67664873	1	FALSE	DEHP	F	adt	ENSMUST00000161748.7	ENSMUSG00000026709.10	Dars2	protein_coding	chr1	161047036	161047317	-	MTC	LTR	ERVL-MaLR	processed_transcript
chr6	141946809	141946811	-	-0.036356119	6.113503313	0.865630048	1	FALSE	DEHP	F	adt	ENSMUST00000168119.7	ENSMUSG00000041698.11	Slco1a1	protein_coding	chr6	141946772	141947184	-	MTD	LTR	ERVL-MaLR	protein_coding
chr15	77399109	77399111	-	-0.027947754	5.37466478	0.883235717	1	FALSE	DEHP	F	adt	ENSMUST00000176074.8	ENSMUSG00000010601.14	Apol7a	protein_coding	chr15	77398826	77399187	-	MT2B1	LTR	ERVL	protein_coding
chr17	57219971	57219973	-	-0.016531722	3.919364725	0.887333705	1	FALSE	DEHP	F	adt	ENSMUST00000176457.1	ENSMUSG00000024164.15	C3	protein_coding	chr17	57219939	57220079	-	RSINE1	SINE	B4	processed_transcript
chr5	5781529	5781531	+	-0.119793727	4.828490877	0.735949281	1	FALSE	DEHP	F	adt	ENSMUST00000181751.1	ENSMUSG00000097554.1	Gm26825	lincRNA	chr5	5781494	5781571	-	L1MEg	LINE	L1	lincRNA
chr1	63117117	63117119	+	-0.072428027	0.632426614	0.757604122	1	FALSE	DEHP	F	adt	ENSMUST00000185480.1	ENSMUSG00000101599.1	Gm20342	lincRNA	chr1	63116996	63117139	-	B1_Mus1	SINE	Alu	lincRNA
chr1	91111213	91111215	+	-0.123495135	0.027201343	0.773274943	1	FALSE	DEHP	F	adt	ENSMUST00000188094.6	ENSMUSG00000026305.15	Lrrfip1	protein_coding	chr1	91111009	91111406	+	MTA_Mm	LTR	ERVL-MaLR	processed_transcript
chr1	180680886	180680888	+	-0.183145095	-0.352455921	0.679110297	1	FALSE	DEHP	F	adt	ENSMUST00000194847.1	ENSMUSG00000058729.13	Lin9	protein_coding	chr1	180680705	180680897	+	B3A	SINE	B2	retained_intron
chr3	127808863	127808865	-	-0.110895461	0.7122833	0.771579648	1	FALSE	DEHP	F	adt	ENSMUST00000198626.1	ENSMUSG00000074238.6	Ap1ar	protein_coding	chr3	127808823	127808972	+	B1_Mus2	SINE	Alu	retained_intron
chr6	5220485	5220487	-	-0.004254449	5.859132561	0.951298117	1	FALSE	DEHP	F	adt	ENSMUST00000203092.1	ENSMUSG00000107881.1	Gm44250	TEC	chr6	5220383	5220501	+	RLTR28	LTR	ERVL	TEC
chr7	88311477	88311479	+	-0.09921653	-0.081454633	0.649096051	1	FALSE	DEHP	F	adt	ENSMUST00000208302.1	ENSMUSG00000109244.1	Gm44751	lincRNA	chr7	88311390	88311503	-	B1_Mur2	SINE	Alu	lincRNA
chr11	79273892	79273894	-	-0.010700209	3.269326805	0.930600905	1	FALSE	DEHP	F	adt	ENSMUST00000208339.1	ENSMUSG00000108822.1	Gm44787	lincRNA	chr11	79273646	79273930	-	Zaphod	DNA	hAT-Tip100	lincRNA
chr9	19622127	19622129	+	-0.022742716	3.15598658	0.834646374	1	FALSE	DEHP	F	adt	ENSMUST00000208694.1	ENSMUSG00000057551.10	Zfp317	protein_coding	chr9	19622012	19622152	+	LTR33C	LTR	ERVL	protein_coding
chr10	80636164	80636166	+	-0.076519636	0.896842475	0.733035915	1	FALSE	DEHP	F	adt	ENSMUST00000217902.1	ENSMUSG00000003345.16	Csnk1g2	protein_coding	chr10	80636141	80636347	-	B3	SINE	B2	retained_intron
chr10	33857720	33857722	+	-0.039531602	3.450808477	0.856760607	1	FALSE	DEHP	F	adt	ENSMUST00000218204.1	ENSMUSG00000069668.4	Sult3a1	protein_coding	chr10	33856056	33860295	-	L1VL2	LINE	L1	protein_coding
chr10	111599176	111599178	+	-0.00986658	3.109744274	0.931636932	1	FALSE	DEHP	F	adt	ENSMUST00000219137.1	ENSMUSG00000112249.1	Gm30262	lincRNA	chr10	111598912	111599274	+	RMER15-int	LTR	ERVL	lincRNA
chr12	77388863	77388865	+	-0.003311669	0.662624495	0.905509385	1	FALSE	DEHP	F	adt	ENSMUST00000219299.1	ENSMUSG00000021065.16	Fut8	protein_coding	chr12	77383407	77389676	-	L1Md_T	LINE	L1	processed_transcript
chr10	128007593	128007595	-	-0.006663513	1.812079944	0.934773118	1	FALSE	DEHP	F	adt	ENSMUST00000219953.1	ENSMUSG00000025396.7	Hsd17b6	protein_coding	chr10	128007359	128007807	-	MLT2B3	LTR	ERVL	protein_coding
chr15	7140541	7140543	+	-0.019696249	-0.579780783	0.89583587	1	FALSE	DEHP	F	adt	ENSMUST00000226471.1	ENSMUSG00000054263.12	Lifr	protein_coding	chr15	7140329	7140713	+	MTC	LTR	ERVL-MaLR	protein_coding
chr14	45340453	45340455	+	-0.181101475	0.119123114	0.666556481	1	FALSE	DEHP	F	adt	ENSMUST00000226739.1	ENSMUSG00000021832.8	Psmc6	protein_coding	chr14	45340405	45340561	-	B3A	SINE	B2	retained_intron
chr14	46084027	46084029	+	-0.051961503	3.698039817	0.787289744	1	FALSE	DEHP	F	adt	ENSMUST00000227415.1	ENSMUSG00000044285.8	Gm1821	transcribed_processed_pseudogene	chr14	46083574	46084029	+	L1Md_F2	LINE	L1	processed_transcript
chr17	28446499	28446501	+	-0.086847827	2.859897409	0.684406264	1	FALSE	DEHP	F	adt	ENSMUST00000232983.1	ENSMUSG00000117084.1	AC154912.1	antisense	chr17	28446378	28446538	+	L1MB4	LINE	L1	antisense
chr18	30267248	30267250	+	-0.011709486	1.52946963	0.938702112	1	FALSE	DEHP	F	adt	ENSMUST00000234467.1	ENSMUSG00000117465.1	AC102496.1	lincRNA	chr18	30267211	30269257	+	RLTR4_MM-int	LTR	ERV1	lincRNA
chr17	78401429	78401431	-	-0.11850337	1.310709693	0.754094185	1	FALSE	DEHP	F	adt	ENSMUST00000234601.1	ENSMUSG00000056121.16	Fez2	protein_coding	chr17	78401399	78401710	+	MLT1B	LTR	ERVL-MaLR	processed_transcript
chr5	69566723	69566725	+	1.03622834	1.804854301	8.34E-07	2.22E-05	TRUE	DEHP	F	adt	ENSMUST00000125660.2	ENSMUSG00000029208.16	Guf1	protein_coding	chr5	69566719	69566861	+	B1_Mus1	SINE	Alu	retained_intron
chr2	30830332	30830334	-	2.78366571	0.458070089	1.02E-06	2.64E-05	TRUE	DEHP	F	adt	ENSMUST00000041726.3	ENSMUSG00000039483.10	Asb6	protein_coding	chr2	30830289	30830441	-	MIRb	SINE	MIR	protein_coding
chr2	120977016	120977018	+	1.815691848	2.887929254	2.49E-05	0.000433911	TRUE	DEHP	F	adt	ENSMUST00000067582.13	ENSMUSG00000054484.14	Tmem62	protein_coding	chr2	120977008	120977079	-	MIRc	SINE	MIR	protein_coding
chr2	24891702	24891704	-	1.135776025	2.435559287	0.000297291	0.003590711	TRUE	DEHP	F	adt	ENSMUST00000114418.9	ENSMUSG00000036893.17	Ehmt1	protein_coding	chr2	24891686	24891944	+	MLT1H	LTR	ERVL-MaLR	protein_coding
chr5	150568587	150568589	+	1.106926429	0.600061425	0.000384602	0.004450323	TRUE	DEHP	F	adt	ENSMUST00000201165.1	ENSMUSG00000041147.10	Brca2	protein_coding	chr5	150568583	150568721	-	B1_Mm	SINE	Alu	retained_intron
chr2	103715080	103715082	+	1.922078634	-0.216434318	0.000672404	0.007011717	TRUE	DEHP	F	adt	ENSMUST00000131122.1	ENSMUSG00000032724.5	Abtb2	protein_coding	chr2	103714991	103715097	-	PB1D10	SINE	Alu	processed_transcript
chr12	73901374	73901376	+	1.165262024	3.588152251	0.00088401	0.008781598	TRUE	DEHP	F	adt	ENSMUST00000110461.7	ENSMUSG00000021109.13	Hif1a	protein_coding	chr12	73901267	73902053	-	L1MCa	LINE	L1	protein_coding
chr2	180071792	180071794	+	2.552614252	1.339899644	0.001047028	0.010112077	FALSE	DEHP	F	adt	ENSMUST00000108901.7	ENSMUSG00000039069.19	Mtg2	protein_coding	chr2	180071774	180071985	-	ID_B1	SINE	B4	protein_coding
chr2	60284487	60284489	-	0.306582706	8.201212022	0.001394735	0.012781353	FALSE	DEHP	F	adt	ENSMUST00000074606.10	ENSMUSG00000060703.12	Cd302	protein_coding	chr2	60284298	60284596	-	L1MC4a	LINE	L1	protein_coding
chr1	60105343	60105345	+	0.674596442	1.538564651	0.001515127	0.013628349	FALSE	DEHP	F	adt	ENSMUST00000187978.6	ENSMUSG00000026017.13	Carf	protein_coding	chr1	60105292	60105617	-	MER74A	LTR	ERVL	protein_coding
chr7	80401706	80401708	-	1.989931364	4.234678605	0.00163697	0.014501376	FALSE	DEHP	F	adt	ENSMUST00000120753.2	ENSMUSG00000030530.15	Furin	protein_coding	chr7	80401664	80401753	-	Charlie15a	DNA	hAT-Charlie	protein_coding
chr13	65302405	65302407	+	0.439466221	1.988252645	0.002333775	0.019256721	FALSE	DEHP	F	adt	ENSMUST00000222364.1	ENSMUSG00000021514.18	Zfp369	protein_coding	chr13	65300835	65304034	-	L1_Mus1	LINE	L1	retained_intron
chr7	12999113	12999115	+	1.510965231	1.621598571	0.003670517	0.027452283	FALSE	DEHP	F	adt	ENSMUST00000209577.1	ENSMUSG00000005566.14	Trim28	protein_coding	chr7	12998794	12999161	+	MRLTR33	LTR	ERVK	processed_transcript
chr2	32608070	32608072	+	0.369827251	4.919163751	0.004264358	0.03085754	FALSE	DEHP	F	adt	ENSMUST00000072111.7	ENSMUSG00000026811.18	St6galnac6	protein_coding	chr2	32607992	32608121	-	MIRb	SINE	MIR	protein_coding
chr2	39005623	39005625	-	0.282837729	7.030153122	0.004572685	0.032656647	FALSE	DEHP	F	adt	ENSMUST00000080861.5	ENSMUSG00000062997.6	Rpl35	protein_coding	chr2	39005553	39005661	-	RSINE1	SINE	B4	protein_coding
chr9	123317997	123317999	-	1.096292077	2.597209934	0.005008115	0.035077874	FALSE	DEHP	F	adt	ENSMUST00000213851.1	ENSMUSG00000058492.5	Scp2-ps2	transcribed_unprocessed_pseudogene	chr9	123317821	123318177	+	RLTR9A2	LTR	ERVK	processed_transcript
chr1	139121754	139121756	+	2.654767812	0.935715685	0.005261265	0.036560127	FALSE	DEHP	F	adt	ENSMUST00000199634.1	ENSMUSG00000056268.15	Dennd1b	protein_coding	chr1	139116513	139122778	-	L1Md_T	LINE	L1	processed_transcript
chr7	68275097	68275099	-	0.442844853	3.200835006	0.005397904	0.037274032	FALSE	DEHP	F	adt	ENSMUST00000135564.7	ENSMUSG00000086628.7	Gm16157	antisense	chr7	68275057	68275103	-	FAM	SINE	Alu	antisense
chr1	173491040	173491042	-	0.8305733	0.311724169	0.005942582	0.040155866	FALSE	DEHP	F	adt	ENSMUST00000160565.3	ENSMUSG00000037849.8	Ifi206	protein_coding	chr1	173491020	173491109	-	RMER17C2	LTR	ERVK	protein_coding
chr6	129349963	129349965	+	0.571607952	2.413472746	0.009268587	0.056451096	FALSE	DEHP	F	adt	ENSMUST00000065289.5	ENSMUSG00000053063.11	Clec12a	protein_coding	chr6	129349732	129350001	-	RLTR9A3	LTR	ERVK	protein_coding
chr3	34055428	34055430	-	0.464691159	1.389943531	0.009852556	0.059113884	FALSE	DEHP	F	adt	ENSMUST00000198616.1	ENSMUSG00000105135.1	Gm43667	TEC	chr3	34055256	34055435	-	B3	SINE	B2	TEC
chr8	121833652	121833654	+	0.854193471	3.995398375	0.010128519	0.060280616	FALSE	DEHP	F	adt	ENSMUST00000212899.1	ENSMUSG00000110631.1	Gm42047	lincRNA	chr8	121833274	121840834	+	MMERGLN-int	LTR	ERV1	lincRNA
chr6	120802421	120802423	-	0.569372297	0.525998512	0.013406586	0.074707742	FALSE	DEHP	F	adt	ENSMUST00000203527.1	ENSMUSG00000019210.10	Atp6v1e1	protein_coding	chr6	120802372	120802464	+	B1_Mur1	SINE	Alu	retained_intron
chr14	105114460	105114462	-	0.789017079	0.264513178	0.013844126	0.07653781	FALSE	DEHP	F	adt	ENSMUST00000164319.1	ENSMUSG00000091509.7	Gm17066	processed_transcript	chr14	105114453	105114585	-	L1MEg	LINE	L1	processed_transcript
chr5	72165719	72165721	-	0.613391011	1.411517935	0.014251347	0.078344143	FALSE	DEHP	F	adt	ENSMUST00000196152.1	ENSMUSG00000029213.11	Commd8	protein_coding	chr5	72165654	72165777	-	PB1D7	SINE	Alu	processed_transcript
